key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon_DiamondT;Драконий алмаз;Dragon diamond;;;Diamant Draconique;;;;;龙钻;
Dragon_DiamondD;Драконий алмаз настолько прекрасен, что я хочу назвать его своей прелестью!;The dragon diamond is so beautiful that I want to call it my precious!;;;Ce Diamant Draconique est si beau que j'ai envie de l'appeler mon précieux!;;;;;龙钻如此美丽，我愿称之为我的宝贝！;
Dragon_BloodT;Драконья кровь;Dragon blood;;;Sang de Dragon;;;;;龙血;
Dragon_BloodD;Драконья кровь пузырится как лава.;The dragon's blood is bubbling like lava.;;;Ce sang de dragon bout comme de la lave.;;;;;龙的血液像熔岩一样沸腾。 ;
Dragon_ScaleT;Драконья чешуя;Dragon scales;;;Écaille de Dragon;;;;;龙鳞;
Dragon_ScaleD;Драконья чешуя тверда как скала, и острая как ветер.;The scales of the dragon are as hard as the rock, as sharp as the wind.;;;Cette écaille de dragon est aussi dure que la pierre aussi affûter que le vent.,;;;;;龙的鳞片像岩石一样坚硬，像风一样锋利。;
Dragon_SwordT;Меч дракона ;Dragon sword;;;Épée Draconique;;;;;龙剑;
Dragon_SwordD;Меч, созданный из крови дракона.;A sword created from dragon's blood.;;;Une épée fabriquer à partir de sang de Dragon.;;;;;用龙血制成的剑。;
Axe_dragonT;Драконий топор;Dragon Axe;;;Hache Draconique;;;;;龙斧;
Axe_dragonD;Срубает деревья одним взмахом.;He cuts down trees with onСытно и полезно.e stroke.;;;Il abat des arbres avec un coup.;;;;;挥一下斧子就能解决的事情;
picaxe_dragonT;Драконья кирка;Dragon Pickax;;;Pioche Draconique;;;;;龙镐;
picaxe_dragonD;Раскалывает скалы прорубая путь в недра земли.;Splits the rock cutting a way into the bowels of the earth.;;;Fends la roche jusqu'aux entrailles de la terre.;;;;;劈开岩石，找到通往地心之路。;
dragon_stafT;Посох дракона;Dragon Staff;;;Bâton Draconique;;;;;龙头杖;
dragon_stafD;Магическая мощь дракона.;The magic power of the dragon.;;;La puissante magie des dragons;;;;;龙的魔法;
123T;Драконий шлем;Dragon helm;;;Casque Draconique;;;;;龙头盔;
123D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;Émane de la chaleur comme celle de la bouche d'un dragon.;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样. ;
new_itemT;Драконья броня;Dragon Armor;;;Armure Draconique;;;;;龙鳞铠;
new_itemD;Согреет лучше любой шубы.;Warm better than any coat.;;;Réchauffe mieux que n'importe quel manteau.;;;;;比任何衣服都要温暖;
run_wordT;Рунное слово;Runeword;;;Écriture Runique;;;;;符文;
run_wordD;Слово написанное на давно забытом языке.;A word written in a long-forgotten language.;;;Un mod écrit dans une très ancienne langue oubliée;;;;;一个用早已遗忘的语言书写的文字;
ring_dragonT;Кольцо дракона;Dragon ring;;;Anneau Draconique;;;;;龙王环;
ring_dragonD;Одно кольцо, чтоб править всеми, Оно главнее всех.Оно соберёт всех вместе И заключит во тьме.;One ring to rule them all, one ring to find them.One ring to bring them all and in the darkness bind them.;;;Un anneau pour les gouverner tous un anneau pour les trouver. Un anneau pour les amener tous et les lier dans les ténèbres.,;;;;;一个戒指统治着所有人，它比任何人都重要。它将把所有人聚集在一起，把他们关在黑暗中。;
dragon_goldT;Драконье золото;Dragon gold;;;Or Draconique;;;;;龙金;
dragon_goldD;От него не оторвать взгляд!;Can't look away!;;;Impossible de détourner le regard!;;;;;别想把目光从他身上移开！;
dragon_bowT;Драконий лук;Dragon bow;;;Arc Draconique;;;;;龙弓;
dragon_bowD;Лук способный убить бога!;Bow able to kill God!;;;Un Arc capable de tuer dieux!;;;;;能杀死上帝的弓！;
dragon_eggT;Яйцо дракона;Dragon Egg;Smocze jajo;Drachenei;Uf de Dragon;Uovo di drago;Huevo de dragón;ドラゴンのタマゴ;드래곤의 알;龙蛋;龍蛋
dragon_eggD;Редкий и труднодоступный алхимический ингредиент.;A rare and hard to obtain alchemical ingredient.;Rzadki i trudny do uzyskania składnik alchemiczny.;Eine seltene alchemistische Zutat, die man nur schwer erhält.;Ingrédient d'alchimie rare et difficile à trouver.;Un ingrediente alchemico raro e difficile da ottenere.;Un ingrediente alquímico inusual y difícil de hallar.;希少で入手が困難な錬金術のための材料。;희귀하고 구하기 힘든 연금술 재료죠.;一种极为稀少且难以得到的炼金原料。;一種極為稀少且難以得到的煉金原料。
dragon_sheldT;Щит дракона;Dragon Shield;;;Bouclier Draconique;;;;;龙盾;
dragon_sheldD;Щит который может отразить пламя дракона.;A shield that could reflect the flames of the dragon.;;;Un bouclier qui pourrait renvoyer les flammes du dragon.;;;;;一种可以反弹龙的火焰的盾牌。;
Dragon_bootsT;Драконьи ботинки;Dragon boots;;;Bottes Draconique;;;;;龙靴;
Dragon_bootsD;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;Laisse derrière soit une traînée de cendres.;;;;;行走后留下一堆灰烬。;
Dragon_gunT;Драконье ружьё;Dragon Rifle;;;Pistolet Draconique;;;;;龙枪;
Dragon_gunD;Для охоты на драконов.;For hunting dragons.;;;Pour chasser les dragons;;;;;用于猎龙。;
dragon_archT;Перчатки драконьего лучника ;Dragon gloves of the Archer;;;Gants Draconique pour Archer ;;;;;弓箭手的龙手套;
dragon_archD;Без этих перчаток нельзя использовать стрелы из драконьего золота.;Without these gloves, you can't use dragon gold arrows.;;;Sans ses gants  vous ne pouvez pas utiliser les Flèches en Or Draconique.,;;;;;没有这些手套，你就不能使用龙金箭。;
Dragon_mageT;Сумка драконьего мага;Dragon mage bag;;;Sac Draconique pour Mage;;;;;龙法师包;
