level:2|basic_timber_works,ladder,hatch_wooden,timbered_bridge,chair_wooden;level:1|basic_iron_works,pot,padlock,nail;|basic_illuminating,torch,kitchen_light,hand_flare;<level:1|basic_tools_making,club,axe_stone,pick_stone,workbench_hl,disable_device
|basic_armouring,helm_wood,wood_armor,boot_wood,rope,backpack_01,wood_shield,medical_bandage;level:3|basic_constructing,roof_leaves,wooden_block,column_prop,door_wooden;level:3|basic_cooking,kitchen_wood,meat_cooked,scrambled_eggs,mushroom_salat,mushroom_dry;<|basic_householding,bed_leaves,table_wooden,wooden_chest,chair,bookshelf
|basic_weaponry,wooden_staff,bow_wooden,bow_arrow_fire,mhorn,archer_glove;<>level:4|advanced_iron_works,pick_iron,chopper_iron,club_iron,smith_apron,climbing_cats;|basic_processing,glass,clay,empty_bottle,oil_berries,ink,paper;level:5|advanced_timber_works,plank,saw,library,pen,bucket
|basic_fortifications,fence_wooden,trap_wood,cell_wood,wooden_spikes,beware;|advanced_constructing,wooden_bridge,imp_pet_house,basilisk_pet_house,cat_pet_house,animal_trap;level:6|advanced_illuminating,lamp,miners_lamp,corridor_light,lamp_wall;|advanced_householding,chest_ordinary,clay_vase,bed,bed_multistorey,table_expensive
level:6|fishing,fishing_tackle,fish_soup,fried_fish,bucket_of_worms,float;level:7|basic_decorating,decorative_skin,mirror_ring,wall_wood_set,bones_shield;<>|advanced_processing,bricks_block,fabric,rags_hl,steel,paint,ladders_kit,helmet_woodleather,cuirass_woodleather,boot_woodleather,leather_backpack;|advanced_armouring,shirt_skin,leather_boots,helm_leather,pick_steel,axe_steel,steel_chain_armor,iron_boots,helm_steel,helmet_magical,cuirass_magical,boot_magical
|farming,farm_block,seed,millstone,flour,incubator,sieve,farm_fence,scissors,seed_carrot,seed_cucumber,seed_potato,seed_tomato,juice_carrot,jam,juice_tomato;|basic_stone_works,stone_wall,collumn,stone_bridge;|expert_constructing,staircase_without_railings,staircase_with_railinge,wood_tower,bed_barracks_02,backpack_02;|silver_works,silver_ingot,pick_silver,silver_axe,bow_arrow_silver,thunderbolt_bow,sword_iron,iron_staff
|advanced_cooking,meat_mushrooms,mushroom_soup,soup,bun,bread,serving_spoon,kasha;level:9|advanced_stone_works,wall_stone_set,statue3,gunnar_ironfist,stonemanson_skill;|expert_householding,door_room,comfortable_bed,wooden_table,barrel,bird;|advanced_weaponry,grinding_stone,weapon_patrol_mountain,bow_patrol_mountain,bow_long,mstaff,mfireball
level:8|basic_alchemy,healt_elexir,mana_elexir,mimp,soul_keep,forget_elexir,revival_elexir;|advanced_fortifications,trap_iron,metal_wall,strong_hatch,loophole_stone,cell_iron,wood_tower_2;!|weaving,thread,pennant,picture_lm,flag,table_normal_01;|gold_works,gold_ingot,godeus_sword_th,gold_armor,gold_boots,helm_gold,gold_shield,totem
|expert_cooking,tea,beer,wine_barrel_dlc,mushroom_tincture,baked_potato,vegetables_stew,salad_cucumber_tomato,carrot_cake;level:10|railroad_constructing,wheel_for_trolley,trolley,rail,coal;;level:9|expert_armouring,helm_diver,parachute,Rhinoceros_chest,Rhinoceros_boots,Rhinoceros_helmet
|advanced_alchemy,magician_training,fireball_elexir,mrain,mcollect,alchemist_bag;|engineering,tesla_tower,catapult_tower,warehouse_biome_upgrade,elevator,fire_tower,exploding_barrel;;level:12|expert_weaponry,weapon_guardians_mountain,shield_guardians_mountain,flamethrower,fire_staff,warrior_training,archer_training
!|master_alchemy,icearrow_elexir,transform_elexir,mcompas,flame_fuel_heat,tunder_bolt,big_claster;>level:11|miphryl_works,mithril_ingot,mithril_axe,pick_mithril;|master_armouring,mithril_armor,helm_mithril,mithril_boots,mithril_shield,elfs_single_ring;|master_weaponry,sword_mithril,club_mithril,mstaff_mithril,bow_heavy
|Dragon_5,kuxona_dg,specia,zavtrack,uzin,diner,burger,Fire_berry;<>|Dragon,smyti_dg,picaxe_dragon,Axe_dragon,Dragon_Blood,Dragon_Diamond,dragon_gold,Dragon_Scale,Liq_fire;|Dragon_3,123,new_item,Dragon_boots,dragon_sheld,dragon_arch,Dragon_mage;
