key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon;Легенда о драконе;Legend of Dragon
Dragon_2;Легендарное оружие;Legendary weapon
Dragon_3;Легендарная броня;Legendary armor;
Dragon_4;Артефакты;Artifacts;
Dragon_5;Великолепные блюда;Great dishes;;
Dragon_6;Логово дакона;Dakon's lair;;;
Dragon_7;Драконьи постройки;Dragons built;;;;;
Dragon_8;Драконья алхимия;Dragon Alсhemy;;;;;;
Dragon_9;Драконьи знания;Dragon knowledge;;;;;;
Dragon_10;Зачарование;Enchantment;;;;;;;
Dragon_11;Сильное зачарование;Strong enchantment;;;;;;;
Dragon_12;Драконья мебель;Dragon furniture;;;;;;;;
Dragon_13;Драконье изобретения;Dragon inventions;;;;;;;;
Dragon_14;Золотой век;Golden age;;;;;;;;;
