key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon_DiamondT;Драконий алмаз;Dragon diamond;;;;;;;;龙钻;
Dragon_DiamondD;Драконий алмаз настолько прекрасен, что я хочу назвать его своей прелестью!;The dragon diamond is so beautiful that I want to call it my precious!;;;;;;;;龙钻如此美丽，我愿称之为我的宝贝！;
Dragon_BloodT;Драконья кровь;Dragon blood;;;;;;;;龙血;
Dragon_BloodD;Драконья кровь пузырится как лава.;The dragon's blood is bubbling like lava.;;;;;;;;龙的血液像熔岩一样沸腾。 ;
Dragon_ScaleT;Драконья чешуя;Dragon scales;;;;;;;;龙鳞;
Dragon_ScaleD;Драконья чешуя тверда как скала, и острая как ветер.;The scales of the dragon are as hard as the rock, as sharp as the wind.;;;;;;;;龙的鳞片像岩石一样坚硬，像风一样锋利。;
Dragon_SwordT;Меч дракона ;Dragon sword;;;;;;;;龙剑;
Dragon_SwordD;Меч, созданный из крови дракона.;A sword created from dragon's blood.;;;;;;;;用龙血制成的剑。;
Axe_dragonT;Драконий топор;Dragon Axe;;;;;;;;龙斧;
Axe_dragonD;Срубает деревья одним взмахом.;He cuts down trees with onСытно и полезно.e stroke.;;;;;;;;挥一下斧子就能解决的事情;
picaxe_dragonT;Драконья кирка;Dragon Pickax;;;;;;;;龙镐;
picaxe_dragonD;Раскалывает скалы прорубая путь в недра земли.;Splits the rock cutting a way into the bowels of the earth.;;;;;;;;劈开岩石，找到通往地心之路。;
dragon_stafT;Посох дракона;Dragon Staff;;;;;;;;龙头杖;
dragon_stafD;Магическая мощь дракона.;The magic power of the dragon.;;;;;;;;龙的魔法;
123T;Драконий шлем;Dragon helm;;;;;;;;龙头盔;
123D;От него исходит жар как из пасти дракона.;It comes from the heat as from the mouth of the dragon.;;;;;;;;从它身上散发出一股热气，就像从龙的口中喷出来的一样. ;
new_itemT;Драконья броня;Dragon Armor;;;;;;;;龙鳞铠;
new_itemD;Согреет лучше любой шубы.;Warm better than any coat.;;;;;;;;比任何衣服都要温暖;
run_wordT;Рунное слово;Runeword;;;;;;;;符文;
run_wordD;Слово написанное на давно забытом языке.;A word written in a long-forgotten language.;;;;;;;;一个用早已遗忘的语言书写的文字;
ring_dragonT;Кольцо дракона;Dragon ring;;;;;;;;龙王环;
ring_dragonD;Одно кольцо, чтоб править всеми, Оно главнее всех.Оно соберёт всех вместе И заключит во тьме.;One ring to rule them all, one ring to find them.One ring to bring them all and in the darkness bind them.;;;;;;;;一个戒指统治着所有人，它比任何人都重要。它将把所有人聚集在一起，把他们关在黑暗中。;
dragon_goldT;Драконье золото;Dragon gold;;;;;;;;龙金;
dragon_goldD;От него не оторвать взгляд!;Can't look away!;;;;;;;;别想把目光从他身上移开！;
dragon_bowT;Драконий лук;Dragon bow;;;;;;;;龙弓;
dragon_bowD;Лук способный убить бога!;Bow able to kill God!;;;;;;;;能杀死上帝的弓！;
dragon_eggT;Яйцо дракона;Dragon Egg;Smocze jajo;Drachenei;Œuf de dragon;Uovo di drago;Huevo de dragón;ドラゴンのタマゴ;드래곤의 알;龙蛋;龍蛋
dragon_eggD;Редкий и труднодоступный алхимический ингредиент.;A rare and hard to obtain alchemical ingredient.;Rzadki i trudny do uzyskania składnik alchemiczny.;Eine seltene alchemistische Zutat, die man nur schwer erhält.;Un ingrédient alchimique rare et difficile à obtenir.;Un ingrediente alchemico raro e difficile da ottenere.;Un ingrediente alquímico inusual y difícil de hallar.;希少で入手が困難な錬金術のための材料。;희귀하고 구하기 힘든 연금술 재료죠.;一种极为稀少且难以得到的炼金原料。;一種極為稀少且難以得到的煉金原料。
dragon_sheldT;Щит дракона;Dragon Shield;;;;;;;;龙盾;
dragon_sheldD;Щит который может отразить пламя дракона.;A shield that could reflect the flames of the dragon.;;;;;;;;一种可以反弹龙的火焰的盾牌。;
Dragon_bootsT;Драконьи ботинки;Dragon boots;;;;;;;;龙靴;
Dragon_bootsD;Оставляют за собой пепельный след.;Leave behind a trail of cinders.;;;;;;;;行走后留下一堆灰烬。;
Dragon_gunT;Драконье ружьё;Dragon Rifle;;;;;;;;龙枪;
Dragon_gunD;Для охоты на драконов.;For hunting dragons.;;;;;;;;用于猎龙。;
dragon_archT;Перчатки драконьего лучника ;Dragon gloves of the Archer;;;;;;;;弓箭手的龙手套;
dragon_archD;Без этих перчаток нельзя использовать стрелы из драконьего золота.;Without these gloves, you can't use dragon gold arrows.;;;;;;;;没有这些手套，你就不能使用龙金箭。;
Dragon_mageT;Сумка драконьего мага;Dragon mage bag;;;;;;;;龙法师包;
Dragon_mageD;Содержит самовосполняемые зелья огненного шара.;Contains self-replenishing fireball potions.;;;;;;;;包含自我补充的火球药剂。;
1aT;Стрелы драконьего золота;Arrows of dragon gold;;;;;;;;金龙箭 ;
1aD;Обжигают руки и плоть врага.;Burn the hands and flesh of the enemy.;;;;;;;;烧掉敌人的手和肉。;
1mT;Зелья драконьего огня ;Dragon fire potions;;;;;;;;龙火焰药剂;
1mD;Сколько не выливай а оно льется.;How many do not pour out and it pours.;;;;;;;;能少倒就少倒。;
speciaT;Драконья специя ;Dragon spice;;;;;;;;龙香料;
speciaD;Такая острая что вы начинаете выдыхать пламя!;So sharp that you start to exhale the flames!;;;;;;;;辣到喷火！;
burgerT;Гномский Бургер;Dwarf Burger;;;;;;;;矮人汉堡;
burgerD;Сытный бифштекс гриль, специальный острый соус. листья,коренья,лук. Все на булочке с кунжутом, только так и это Гном-Мак!;Hearty steak grill, special hot sauce. leaves,roots,onions. It's all on a sesame bun, just like that, and it's a dwarf Mac!;;;;;;;;大块的烤牛排，特别的辣酱。叶子，根，洋葱，都放在芝麻面包上，就像那样，这是一个特别的矮人麦当劳汉堡！;
zavtrackT;Завтрак;Breakfast;;;;;;;;早餐;
zavtrackD;Сытно и полезно.;Satisfying and healthy.;;;;;;;;令人满意且健康。;
dinerT;Обед;Lunch;;;;;;;;午餐;
dinerD;Ломоть хлеба, кусок мяса и пинта тива все что нужно гному чтобы пополнить силы!;A loaf of bread, a piece of meat and a pint of tiva is all it takes to replenish the dwarf's strength!;;;;;;;;一块面包、一块肉和一扎啤酒是补充矮人力量所需要的全部！;
uzinpodT;Ужин;Supper;;;;;;;;晚餐;
uzinpodD;Гном кушать, Гном спать , Гному рано завтра вставать.;Dwarf eat Dwarf to sleep , Dwarf early tomorrow to get up.;;;;;;;;矮人吃饭，矮人睡觉，矮人明天早起.;
uzinT;Ужин;Supper;;;;;;;;晚餐;
uzinD;Гном кушать, Гном спать , Гному рано завтра вставать.;Dwarf eat Dwarf to sleep , Dwarf early tomorrow to get up.;;;;;;;;矮人吃饭，矮人睡觉，矮人明天早起.;
kashaT;Каша;Porridge;;;;;;;;粥;
kashaD;"Кушай кашку расти большой" говорила мне мама. Эх походу гномы растут только в ширь.;"Eat porridge grow big" my mother told me. Oh hike dwarves only grow in breadth.;;;;;;;;妈妈告诉我，“要喝粥才能长大”。可惜矮人不能长大，只能长胖。;
smyti_dgT;Драконья кузница;Dragon forge;;;;;;;;龙锻造炉;
smyti_dgD;Как говорится куй железо пока горячо. А тут тебе ковать придется до смерти!;As they say, strike while the iron is hot. And here you have to forge to death!;;;;;;;; 如他们所说，趁热打铁。在这里你必须锻造到死！;
stanock_dgT;Драконий верстак;Dragon workbench;;;;;;;;龙工作台;
stanock_dgD;Если за обычном верстаком гном может повредить палец, то тут он повредить свою психику.;If the usual workbench dwarf may cause damage to the finger, here it damage your psyche.;;;;;;;;一个普通的工作台可能会对矮人的手指造成伤害，但在这里，它会伤害你的精神力。;
lab_dgT;Драконья лаборатория;Dragon laboratory;;;;;;;;龙实验室;
lab_dgD;Если обычный алхимик думает как превратить воду в золото, то гном алхимик думает как превратить воду в пиво.;If the common alchemist thinks to turn water into gold, the alchemist the dwarf thinks how to turn water into beer.;;;;;;;;如果普通的炼金术士想把水变成金子，那么炼金术士矮人想如何把水变成啤酒。;
kuxona_dgT;Драконья печь;Dragon oven;;;;;;;;龙厨房;
kuxona_dgD;Для готовки особо горячих блюд.;For cooking very hot meals.;;;;;;;;用于烹饪非常热的食物。;
Dragon_bedT;Драконья кровать;Dragon bed;;;;;;;;龙床;
Dragon_bedD;Теплая кровать,Идеально для сна.;Warm bed, perfect for sleeping.;;;;;;;;温暖的床，非常适合睡觉。;
Dragon_pictureT;Картина с драконом;Dragon painting;;;;;;;;龙油画;
Dragon_pictureD;Картина с изображением дракона.;A painting of a dragon.;;;;;;;;一幅龙的画作;
Dragon_troneT;new item title;new item title;;;;;;;;;
Dragon_troneD;new item desc;new item desc;;;;;;;;;
Dragon_tableT;Драконий стол;Dragon table;;;;;;;;龙餐桌;
Dragon_tableD;На нем еда всегда остается теплой.;On it the food is always warm.;;;;;;;;上面的食物总是热的。;
Dragon_lampT;Драконья лампа ;Dragon lamp;;;;;;;;龙灯;
Dragon_lampD;Красный свет согревает душу и тело.;Red light warms the body and soul.;;;;;;;;灯光温暖了身体和灵魂。;
Dragon_woodT;Драконьи доски;Dragon plank;;;;;;;;龙木板;
Dragon_woodD;Доски из древесины красного дерева.;Boards made of red wood wood.;;;;;;;;用红木做成的木板。;
vitragT;Драконий витраж;Dragon stained glass;;;;;;;;龙彩色玻璃;
vitragD;Если ты думаешь что этот витраж не красивый, то дракон думает что ты очень вкусный.;If you think that this stained glass is not beautiful, the dragon thinks that you are very tasty.;;;;;;;;如果你觉得这个彩色玻璃不够漂亮，龙会认为你很好吃。;
Dragone_bone_staffT;Посох костей гигантов;The staff of the bones of giants;;;;;;;;巨人骨杖;
Dragone_bone_staffD;Призывает духов гигантов, которые были сожжены драконами в древние времена.;Summons the spirits of giants that were burned by dragons in ancient times.;;;;;;;;召唤古代被龙焚烧的巨人的灵魂。;
EyeT;Глаз;Eye;Oko;Auge;Œil;Occhio;Ojo;目玉;눈;眼睛;眼睛
EyeD;Глаз невезучего монстра. Компонент для магических эликсиров.;The eye of an unlucky monster. Used for magic elixirs.;Oko pechowego potwora. Używane do tworzenia magicznych eliksirów.;Das Auge eines glücklosen Monsters. Es wird für Zauberelixiere genutzt.;L'œil d'un monstre malchanceux. Utilisé pour les élixirs magiques.;L’occhio di un mostro sfortunato. Viene utilizzato per gli elisir magici.;El ojo de un monstruo desdichado. Se usa para elaborar elixires mágicos.;不運なモンスターの目玉。魔法の秘薬に使用される。;운 나쁜 몬스터의 눈. 마법 영약에 사용돼요.;来自死亡怪物的眼睛。可以用来制作魔法药剂。看上去怪瘆人的，你盯着它，它也盯着你！;來自死亡怪物的眼睛。可以用來製作魔法藥劑。看上去怪瘮人的，你盯著它，它也盯著你！
GreyMushroomT;Серый гриб;Grey Mushroom;Zielony grzyb;Grauer Pilz;Champignon gris;Fungo grigio;Seta gris;灰色のキノコ;회색 버섯;灰色蘑菇;灰色蘑菇
GreyMushroomD;Компонент алхимических эликсиров.;An ingredient of alchemical elixirs.;Składnik alchemicznych eliksirów.;Eine Zutat alchemistischer Elixiere.;Un ingrédient pour les élixirs alchimiques.;Un ingrediente per gli elisir alchemici.;Un ingrediente de elixires alquímicos.;錬金術の秘薬に使う材料;연금술 영약의 재료죠.;炼金药剂的一种原料。;煉金藥劑的一種原料。
PinkMushroomT;Розовый гриб;Pink Mushroom;Różowy grzyb;Rosa Pilz;Champignon rose;Fungo rosa;Seta rosa;ピンクのキノコ;핑크색 버섯;粉色蘑菇;粉色蘑菇
PinkMushroomD;Компонент алхимических эликсиров.;An ingredient of alchemical elixirs.;Składnik alchemicznych eliksirów.;Eine Zutat alchemistischer Elixiere.;Un ingrédient pour les élixirs alchimiques.;Un ingrediente per gli elisir alchemici.;Un ingrediente de elixires alquímicos.;錬金術の秘薬に使う材料;연금술 영약의 재료죠.;炼金药剂的一种原料。;煉金藥劑的一種原料。
Dragon_BanerT;Знамя дракона;Dragon banner;;;;;;;;龙旗;
