key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
Dragon;Легенда о драконе;Legend of Dragon;;;Légende des Dragons;;;;;;
Dragon_2;Легендарное оружие;Legendary weapon;;;Armes Légendaire;;;;;;
Dragon_3;Легендарная броня;Legendary armor;;;Armure Légendaire;;;;;;
Dragon_4;Артефакты;Artifacts;;;Artéfacts;;;;;;
Dragon_5;Великолепные блюда;Great dishes;;;Bon petit plat;;;;;;
Dragon_6;Логово дакона;Dakon's lair;;;Décoration Draconique;;;;;;
Dragon_7;Драконьи постройки;Dragons built;;;Construction Draconiennes;;;;;;
Dragon_8;Драконья алхимия;Dragon Alсhemy;;;Alchimie Draconniennes;;;;;;
Dragon_9;Драконьи знания;Dragon knowledge;;;Savoir faire Draconique;;;;;;
Dragon_10;Зачарование;Enchantment;;;Enchantement;;;;;;
Dragon_11;Сильное зачарование;Strong enchantment;;;Puissant enchantement;;;;;;
Dragon_12;Драконья мебель;Dragon furniture;;;Meuble draconique;;;;;;
Dragon_13;Драконье изобретения;Dragon inventions;;;Inventions Draconiennes;;;;;;
Dragon_14;Золотой век;Golden age;;;L'âge d'or;;;;;;
