key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
leaves_deadT;Сухие листья;Dry Leaves;;;;;;;;干树叶;
leaves_deadD;;;;;;;;;;;
SnowT;;;;;;;;;;;
IceD;;;;;;;;;;;
IceT;;;;;;;;;;;
stoneT;;;;;;;;;;;
stoneD;;;;;;;;;;;
sandT;;;;;;;;;;;
sandD;;;;;;;;;;;
AshesT;Пепел;Ashes;;;;;;;;骨灰;
AshesD;;;;;;;;;;;
SaltT;Соль;Salt;;;;;;;;盐;
SaltD;Соль используется в кулинарии и алхимии.;Salt is used in cooking and alchemy.;;;;;;;;盐用于烹饪和炼金术。;
SulfurT;;;;;;;;;;;
SulfurD;;;;;;;;;;;
ironT;;;;;;;;;;;
ironD;;;;;;;;;;;
copperT;Медная руда;Copper Ore;;;;;;;;铜矿石;
copperD;;;;;;;;;;;
SilverT;;;;;;;;;;;
SilverD;;;;;;;;;;;
GoldT;;;;;;;;;;;
GoldD;;;;;;;;;;;
MithrilT;;;;;;;;;;;
MithrilD;;;;;;;;;;;
anthraciteT;Антрацит;Anthracite;;;;;;;;无烟煤;
anthraciteD;;;;;;;;;;;
titanT;Титановая руда;Titan Ore;;;;;;;;钛矿石;
titanD;;;;;;;;;;;
rags_hlT;;;;;;;;;;;
rags_hlD;;;;;;;;;;;
BlueprintsT;Чертежи;Blueprints;;;;;;;;蓝图;
BlueprintsD;Схемы и чертежи сложных механических устройств.;Schemes and drawings of complex mechanical devices.;;;;;;;;复杂机械设备的方案和图纸。;
BrickT;;;;;;;;;;;
BrickD;;;;;;;;;;;
aluminumT;Алюминий;Aluminum;;;;;;;;铝;
aluminumD;Легкий и прочный металл.;Light and strong metal.;;;;;;;;轻而坚固的金属;
CopperingotT;Медный слиток;Copper Ingot;;;;;;;;铜锭;
CopperingotD;;;;;;;;;;;
BronzeT;Бронзовый слиток;Bronze Ingot;;;;;;;;青铜锭;
BronzeD;;;;;;;;;;;
alloy_iron_silverT;Сплав железа и серебра;Alloy of iron and silver;;;;;;;;银铁合金;
alloy_iron_silverD;;;;;;;;;;;
durable_alloyT;Прочный сплав;Durable alloy;;;;;;;;耐用合金;
durable_alloyD;Сплав из нескольких металлов со специальными свойствами.;An alloy from several metals with special properties.;;;;;;;;由多种具有特殊性能的金属制成的合金。;
TitaningotT;Титановый слиток;Titan Ingot;;;;;;;;钛锭;
TitaningotD;;;;;;;;;;;
NailT;;;;;;;;;;;
NailD;;;;;;;;;;;
WireT;Провода;Wires;;;;;;;;电线;
WireD;Электропроводка с изоляцией.;Electrical installation with insulation.;;;;;;;;绝缘电线;
SpringT;Пружина;Spring;;;;;;;;弹簧;
SpringD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
LightbulbT;Лампочка;Light Bulb;;;;;;;;电灯泡;
LightbulbD;Электрическая лампочка с нитью накаливания.;Light bulb with filament.;;;;;;;;白炽灯;
BatteryT;Батарея;Battery;;;;;;;;电池;
BatteryD;Источник электропитания.;Power supply.;;;;;;;;供应电源;
BoltT;Болт;Bolt;;;;;;;;螺栓;
BoltD;Надежно держит механизм.;Securely holds the mechanism.;;;;;;;;牢牢的固定机械;
GearT;Шестеренка;Gear;;;;;;;;齿轮;
GearD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
TubeT;Медная труба;Copper Tube;;;;;;;;铜管;
TubeD;Простая в применении медная труба для передачи жидкостей и газов.;Easy to use copper pipe for transfer liquids and gases.;;;;;;;;易于使用的铜管, 用于传输液体和气体。;
CapacitorT;Конденсатор;Capacitor;;;;;;;;电容;
CapacitorD;Используется в сложных электроприборах.;Used in complex electrical appliances.;;;;;;;;用于复杂的电器;
MagnifierT;Увеличительное стекло;Magnifier;;;;;;;;放大镜;
MagnifierD;Линза преломляет и искажает свет.;Lens refracts and distorts light.;;;;;;;;镜片会折射和扭曲光线。;
SpacerT;Комплект шайб;Spacer set;;;;;;;;垫片组;
SpacerD;Используется в сложных электроприборах.;Used for complex mechanisms.;;;;;;;;用于复杂的电器;
PlatesT;Бронзовая пластина;Bronze Plate;;;;;;;;青铜板;
PlatesD;Выкованная бронзовая пластина.;Forged bronze plate.;;;;;;;;锻造青铜板;
SensorT;Датчик;Sensor;;;;;;;;传感器;
SensorD;Многозадачный датчик с индикатором.;Multitask sensor with indicator.;;;;;;;;带指示器的多任务传感器。;
AntennasT;Приемник;Receiver;;;;;;;;接收器;
AntennasD;Улавливает радиочастоты.;Picks up radio frequencies.;;;;;;;;它能接收无线电频率。;
fire_engineT;Огненный двигатель;Fire Engine;;;;;;;;火力引擎;
fire_engineD;Похоже, этот механизм способен преобразовывать огонь в механические движения... Мы должны это использовать!;Looks like this mechanism can turn fire into mechanical movement... We have to use it!;;;;;;;;这种机器似乎能够将火转化为机械运动... 我们必须使用它!;
MovingMechanismT;Двигательный механизм;Propulsion mechanism;;;;;;;;推进器;
MovingMechanismD;;;;;;;;;;;
CableT;Кабель;Cable;;;;;;;;电缆;
CableD;Электропроводка с изоляцией.;Electrical installation with insulation.;;;;;;;;绝缘电线;
HighPowerBatteryT;Батарея повышенной мощности;High power battery;;;;;;;;大容量电池;
HighPowerBatteryD;Источник электропитания.;Power supply.;;;;;;;;供应电源;
Mounting_partT;Монтажная деталь;Mounting component;;;;;;;;装配零部件;
Mounting_partD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
Fastening_partT;Крепежная деталь;Fastening component;;;;;;;;紧固件;
Fastening_partD;Используется для сложных механизмов.;Used for complex mechanisms.;;;;;;;;用于复杂的机器;
