key;russian;english;polish;german;french;italian;spanish;japanese;korean;chinese;chinese_t
block_res1;Обработка дерева;Basic Woodworking;;;;;;;;基本木工;
block_res2;Конструкции из дерева;Wooden constructions;;;;;;;;木制建筑;
block_res3;Конструкции из глины;Clay constructions;;;;;;;;粘土建筑;
block_res4;Основы знаний;Basics of Knowledge;;;;;;;;基础知识;
block_res5;Основы строительства;Building Basics;;;;;;;;基础建筑;
block_res6;Конструкции из льда;Constructions from ice;;;;;;;;冰的建筑;
block_res7;Конструкции из камня;Constructions made of stone;;;;;;;;石制建筑;
block_res8;Блоки;Blocks8;;;;;;;;Blocks8;
block_res9;Блоки;Blocks9;;;;;;;;Blocks9;
block_res10;Блоки;Blocks10;;;;;;;;Blocks10;
block_res11;Конструкции из кирпича;Brick constructions;;;;;;;;砖块建筑;
block_res12;Блоки;Blocks12;;;;;;;;Blocks12;
block_res13;Конструкции из песчаника;Sandstone constructions;;;;;;;;砂岩建筑;
block_res14;Блоки;Blocks14;;;;;;;;Blocks14;
block_res15;Блоки;Blocks15;;;;;;;;Blocks15;
block_res16;Блоки;Blocks16;;;;;;;;Blocks16;
block_res17;Конструкции из металлов;Metal constructions;;;;;;;;金属建筑;
block_res18;Блоки;Blocks18;;;;;;;;Blocks18;
block_res19;Блоки;Blocks19;;;;;;;;Blocks19;
block_res20;Конструкции из обсидиана;Obsidian constructions;;;;;;;;黑曜石建筑;
block_res21;Конструкции из мрамора;Marble constructions;;;;;;;;大理石建筑;
block_res22;Конструкции из гранита;Constructions made of granite;;;;;;;;花岗岩建筑;
block_res23;Конструкции из титана;Titanium constructions;;;;;;;;钛金建筑;
block_res24;Блоки;Blocks24;;;;;;;;Blocks24;
block_res25;Блоки;Blocks25;;;;;;;;Blocks25;
block_res26;Блоки;Blocks26;;;;;;;;Blocks26;
block_res27;Блоки;Blocks27;;;;;;;;Blocks27;
block_res28;Блоки;Blocks28;;;;;;;;Blocks28;
block_res29;Блоки;Blocks29;;;;;;;;Blocks29;
block_res30;Блоки;Blocks30;;;;;;;;Blocks30;
mech_res1;Простые инструменты;Basic Tool Making;;;;;;;;基本工具制作;
mech_res2;Переработка;Basic Processing;;;;;;;;基本处理;
mech_res3;Механика;Mechanics3;;;;;;;;Mechanics3;
mech_res4;Предметы первой необходимости;Required Items;;;;;;;;必需物品;
mech_res5;Тренировочные манекены;Training dummies;;;;;;;;训练假人;
mech_res6;Базовая руда;Base Ore;;;;;;;;基础矿石;
mech_res7;Механика;Mechanics7;;;;;;;;Mechanics7;
mech_res8;Обработка серебра;Silver Working;;;;;;;;银器加工;
mech_res9;Простые детали;Simple Details;;;;;;;;简单细节;
mech_res10;Сложные механизмы;Complex mechanisms;;;;;;;;复杂机器;
mech_res11;Обработка титана;Titanium Working;;;;;;;;钛器加工;
mech_res12;Различные вещи и постройки;Various things and buildings;;;;;;;;各种东西与建筑;
mech_res13;Мана механизмы низшего порядка;Mana lower-order mechanisms;;;;;;;;低级魔法机械;
mech_res14;Различные механизмы;Various mechanisms;;;;;;;;各种机械;
mech_res15;Механика;Mechanics15;;;;;;;;Mechanics15;
mech_res16;Военные механизмы;Military mechanisms;;;;;;;;军事机械;
mech_res17;Улучшенные детали;Improved details;;;;;;;;改良细节;
mech_res18;Новые механизмы;New mechanisms;;;;;;;;新式机械;
mech_res19;Механика;Mechanics19;;;;;;;;Mechanics19;
mech_res20;Мана механизмы высшего порядка;Mana higher order mechanisms;;;;;;;;高级魔法机械;
mech_res21;Механика;Mechanics21;;;;;;;;Mechanics21;
mech_res22;Механика;Mechanics22;;;;;;;;Mechanics22;
mech_res23;Титановые инструменты;Titanium tools;;;;;;;;钛金属工具;
mech_res24;Механика;Mechanics24;;;;;;;;Mechanics24;
mech_res25;Механика;Mechanics25;;;;;;;;Mechanics25;
mech_res26;Механика;Mechanics26;;;;;;;;Mechanics26;
mech_res27;Механика;Mechanics27;;;;;;;;Mechanics27;
mech_res28;Механика;Mechanics28;;;;;;;;Mechanics28;
mech_res29;Механика;Mechanics29;;;;;;;;Mechanics29;
mech_res30;Механика;Mechanics30;;;;;;;;Mechanics30;
arm_res1;Одежда из листьев;Leaf clothes;;;;;;;;树叶服装;
arm_res2;Одежда магов;Mage clothing;;;;;;;;法师服装;
arm_res3;Деревянные доспехи;Wooden armor;;;;;;;;木制装备;
arm_res4;Доспехи из кожи и хитина;Leather and hitin armor;;;;;;;;皮革和甲壳装备;
arm_res5;Доспехи подземных комнат;Armor of underground rooms;;;;;;;;地下室装备;
arm_res6;Доспехи зомби;Zombie Armor;;;;;;;;僵尸装备;
arm_res7;Стальные доспехи;Steel armor;;;;;;;;钢铁装备;
arm_res8;Серебрянные доспехи;Silver armor;;;;;;;;银器装备;
arm_res9;Золотые доспехи;Golden armor;;;;;;;;黄金装备;
arm_res10;Доспехи из мифрила;Mithril armor;;;;;;;;秘银装备;
arm_res11;Титановые доспехи;Titanium armor;;;;;;;;钛金属装备;
arm_res12;Доспехи скелета;Skeleton armor;;;;;;;;骷髅装备;
arm_res13;Доспехи оккультных существ;Armor of the occult creatures;;;;;;;;神秘生物装备;
arm_res14;Доспехи гоблинов;Goblin armor;;;;;;;;哥布林装备;
arm_res15;Доспехи патруля Одинокой горы;Armor of the Lonely Mountain patrol;;;;;;;;孤山巡逻队装备;
arm_res16;Доспехи из меди и бронзы;Armor made of copper and bronze;;;;;;;;青铜装备;
arm_res17;Доспехи орка;Orc armor;;;;;;;;兽人装备;
arm_res18;Доспехи вампира;Vampire armor;;;;;;;;吸血鬼装备;
arm_res19;Доспехи рыбочеловека;Fishman armor;;;;;;;;鱼人装备;
arm_res20;Доспехи хранителей Одинокой горы;Armor of the guardians of the Lonely Mountain;;;;;;;;孤山守护者装备;
arm_res21;Доспехи Паладина;Armor Paladin;;;;;;;;圣骑士装备;
arm_res22;Доспехи Древних;Armor of the Ancients;;;;;;;;上古装备;
arm_res23;Доспехи Владыки Тьмы;Armor of the Lord of Darkness;;;;;;;;黑暗领主装备;
arm_res24;Доспехи;Armour24;;;;;;;;Armour24;
arm_res25;Доспехи;Armour25;;;;;;;;Armour25;
arm_res26;Доспехи;Armour26;;;;;;;;Armour26;
arm_res27;Доспехи;Armour27;;;;;;;;Armour27;
arm_res28;Доспехи;Armour28;;;;;;;;Armour28;
arm_res29;Доспехи;Armour29;;;;;;;;Armour29;
arm_res30;Доспехи;Armour30;;;;;;;;Armour30;
food_res1;Еда;Food1;;;;;;;;Food1;
food_res2;Еда;Food2;;;;;;;;Food2;
food_res3;Еда;Food3;;;;;;;;Food3;
food_res4;Основы магии;Fundamentals of Magic;;;;;;;;基础魔法;
food_res5;Еда;Food5;;;;;;;;Food5;
food_res6;Еда;Food6;;;;;;;;Food6;
food_res7;Еда;Food7;;;;;;;;Food7;
food_res8;Еда;Food8;;;;;;;;Food8;
food_res9;Еда;Food9;;;;;;;;Food9;
food_res10;Еда;Food10;;;;;;;;Food10;
food_res11;Еда;Food11;;;;;;;;Food11;
food_res12;Магические эликсиры;Magic elixirs;;;;;;;;魔法药剂;
food_res13;Еда;Food13;;;;;;;;Food13;
food_res14;Еда;Food14;;;;;;;;Food14;
food_res15;Еда;Food15;;;;;;;;Food15;
food_res16;Еда;Food16;;;;;;;;Food16;
food_res17;Еда;Food17;;;;;;;;Food17;
food_res18;Еда;Food18;;;;;;;;Food18;
food_res19;Еда;Food19;;;;;;;;Food19;
food_res20;Еда;Food20;;;;;;;;Food20;
food_res21;Еда;Food21;;;;;;;;Food21;
food_res22;Еда;Food22;;;;;;;;Food22;
